time,x1,y1,x2,y2,theta1,theta2,L1,L2,normalized_overlap,energy,total_angular_momentum
0.912,-1.913742285483867,-0.4542600532979689,1.913742285483867,0.4542600532979689,0.24059224839240506,-0.3232711880650081,-0.024174309234398957,-0.045523163596302395,0.006798936724169765,1.440232490277992,1.0799999999999996
0.92,-1.9045254350259553,-0.4544783939321148,1.9045254350259553,0.4544783939321148,0.2400972611517622,-0.32433222508265214,-0.025332476119304195,-0.04732701956088587,0.007060100728549835,1.440232490277992,1.0799999999999996
0.928,-1.8953243297720468,-0.4547068244777543,1.8953243297720468,0.4547068244777543,0.23957862115373924,-0.32543514470326657,-0.026539873527892218,-0.049188066104529284,0.007328450980931457,1.4402324902779922,1.0799999999999998
0.936,-1.8861394964662606,-0.45494574973331126,1.8861394964662606,0.45494574973331126,0.23903532633066682,-0.32658126602420307,-0.02779825436905634,-0.05110733865146794,0.0076040075021428675,1.4402324902779924,1.0799999999999996
0.9440000000000001,-1.876971472978543,-0.45519558718688313,1.876971472978543,0.45519558718688313,0.2384663391258515,-0.32777193149143735,-0.02910941460681936,-0.05308584416188392,0.007886777006023207,1.4402324902779922,1.0799999999999994
0.9520000000000001,-1.8678208081754664,-0.4554567672010436,1.8678208081754664,0.4554567672010436,0.2378705856346389,-0.32900850620574845,-0.030475193023606753,-0.05512455732062558,0.008176752008509822,1.4402324902779926,1.0799999999999996
0.96,-1.8586880617654011,-0.455729733185705,1.8586880617654011,0.455729733185705,0.23724695475145188,-0.3302923771397171,-0.03189747085785824,-0.057224416545021604,0.008473909923476915,1.4402324902779924,1.0799999999999998
0.968,-1.8495738041170553,-0.4560149417577825,1.8495738041170553,0.4560149417577825,0.23659429732542148,-0.3316249522614023,-0.03337817130523256,-0.059386319811396235,0.008778212148486656,1.4402324902779922,1.0799999999999996
0.976,-1.8404786160504083,-0.4563128628863446,1.8404786160504083,0.4563128628863446,0.23591142532745138,-0.33300765956055484,-0.03491925887211078,-0.06161112030074209,0.009089603143964587,1.4402324902779928,1.0799999999999998
0.984,-1.8314030885990948,-0.4566239800218757,1.8314030885990948,0.4566239800218757,0.2351971110317885,-0.3344419459732496,-0.03652273856955911,-0.06389962186494967,0.009408009509674027,1.4402324902779922,1.0799999999999998
0.992,-1.822347822743334,-0.45694879020822504,1.822347822743334,0.45694879020822504,0.23445008621541058,-0.33592927620085994,-0.03819065493537615,-0.06625257431603618,0.009733339062735154,1.4402324902779924,1.0799999999999998
1.0,-1.8133134291125497,-0.4572878041757549,1.8133134291125497,0.4572878041757549,0.23366904137880107,-0.3374711314193676,-0.039925090871326376,-0.06867066854197636,0.010065479921813447,1.4402324902779924,1.0799999999999996
1.008,-1.804300527656877,-0.4576415464141535,1.804300527656877,0.4576415464141535,0.2328526249919376,-0.33906900787509786,-0.04172816628216194,-0.0711545314540008,0.010404299602485482,1.4402324902779926,1.0799999999999998
