time,component_count,norm,hamiltonian,momentum_x,momentum_y,angular_momentum,peak_density
11.3,2,29.802404549025518,-0.7910852112708543,-5.2160698085605695e-05,-1.649756720123463e-11,-0.0011938624744481374,1.1254666645547042
11.4,2,29.802404549025606,-0.7910854528333603,-5.21639626423296e-05,-2.0325408023325053e-11,-0.0010151927027846758,1.1318211143592434
11.5,2,29.80240454902568,-0.791085422144747,-5.21677998090251e-05,-2.1068563560433518e-11,-0.000770682295641624,1.142442661028104
11.6,2,29.802404549025763,-0.7910853451242197,-5.216786801501283e-05,-2.261142661996729e-11,-0.0004741582540681438,1.1548458126301848
11.700000000000001,2,29.80240454902584,-0.7910854492553221,-5.216560752096394e-05,-1.9773072068574038e-11,-5.240550563457777e-05,1.1642845321116495
11.8,2,29.80240454902592,-0.7910856746611223,-5.216173488828066e-05,-2.096153112196575e-11,0.0005275729835766373,1.1681891574297767
11.9,2,29.802404549025997,-0.7910858587497506,-5.216094000146804e-05,-2.004438282021681e-11,0.0011707050602068232,1.1686984434425787
12.0,2,29.802404549026072,-0.7910860171019649,-5.216427230053146e-05,-1.810114558242759e-11,0.0017137125879382624,1.1777938885259343
12.1,2,29.802404549026164,-0.7910860944433273,-5.217540067401459e-05,-2.787110819912897e-11,0.0020833853918677137,1.1911309745304615
12.200000000000001,2,29.802404549026228,-0.791086041571615,-5.218971111460753e-05,-3.583539714968609e-11,0.002353868721721112,1.2040795925505754
12.3,2,29.802404549026317,-0.7910859984774723,-5.219261822024014e-05,-3.5430859635088296e-11,0.002650484090427341,1.2165720907817694
12.4,2,29.802404549026395,-0.7910861612586892,-5.219130668867103e-05,-3.7360566029764897e-11,0.0029931531185242027,1.2266961459565537
12.5,2,29.802404549026473,-0.7910865402477487,-5.219081352838412e-05,-2.7288067638853164e-11,0.003257364558889933,1.2310421298230518
12.6,2,29.80240454902655,-0.7910868203254923,-5.218967917266712e-05,-2.6579086154221443e-11,0.0032567063491396875,1.2270189695614884
12.700000000000001,2,29.802404549026623,-0.7910868323056591,-5.219134464047419e-05,-2.4297057421573953e-11,0.0028931419531478403,1.2162626337599634
12.8,2,29.80240454902671,-0.7910867272034501,-5.219359173278676e-05,-1.3941452159382806e-11,0.002230276991501551,1.219821258785007
12.9,2,29.802404549026797,-0.791086700553845,-5.220855683685591e-05,-8.004708007547379e-12,0.0014488848671362353,1.230468585095068
13.0,2,29.802404549026885,-0.7910867659418874,-5.2228438059522334e-05,-8.07635208710522e-12,0.0007217416315583036,1.245087554204469
13.1,2,29.80240454902696,-0.791086749860117,-5.224551290401204e-05,-8.138628659892788e-12,9.143338255551692e-05,1.2571262487307098
